CountryorArea,Element,Year,Unit,Value,ValueFootnotes
France,Processing,1968.0,1000 tonnes,0.0,A
Hungary,Processing,1968.0,1000 tonnes,0.0,A
Japan,Processing,1968.0,1000 tonnes,0.0,A
Romania,Processing,1968.0,1000 tonnes,0.0,A
Sweden,Processing,1968.0,1000 tonnes,0.0,A
Thailand,Processing,1968.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1968.0,1000 tonnes,0.0,A
Brazil,Processing,1967.0,1000 tonnes,0.0,A
Canada,Processing,1967.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1967.0,1000 tonnes,0.0,A
Denmark,Processing,1967.0,1000 tonnes,0.0,A
France,Processing,1967.0,1000 tonnes,0.0,A
Hungary,Processing,1967.0,1000 tonnes,0.0,A
Japan,Processing,1967.0,1000 tonnes,0.0,A
Romania,Processing,1967.0,1000 tonnes,0.0,A
Sweden,Processing,1967.0,1000 tonnes,0.0,A
Thailand,Processing,1967.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1967.0,1000 tonnes,0.0,A
Brazil,Processing,1966.0,1000 tonnes,0.0,A
Canada,Processing,1966.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1966.0,1000 tonnes,0.0,A
Denmark,Processing,1966.0,1000 tonnes,0.0,A
France,Processing,1966.0,1000 tonnes,0.0,A
Hungary,Processing,1966.0,1000 tonnes,0.0,A
Japan,Processing,1966.0,1000 tonnes,0.0,A
Romania,Processing,1966.0,1000 tonnes,0.0,A
Sweden,Processing,1966.0,1000 tonnes,0.0,A
Thailand,Processing,1966.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1966.0,1000 tonnes,0.0,A
Brazil,Processing,1965.0,1000 tonnes,0.0,A
Canada,Processing,1965.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1965.0,1000 tonnes,0.0,A
Denmark,Processing,1965.0,1000 tonnes,0.0,A
France,Processing,1965.0,1000 tonnes,0.0,A
Hungary,Processing,1965.0,1000 tonnes,0.0,A
Japan,Processing,1965.0,1000 tonnes,0.0,A
Romania,Processing,1965.0,1000 tonnes,0.0,A
Sweden,Processing,1965.0,1000 tonnes,0.0,A
Thailand,Processing,1965.0,1000 tonnes,0.0,A
